Timestamp,Filename,Origin (Easting[ftUS],Northing[ftUS],Height[ftUS]),Direction (Easting,Northing,Height),Up (Easting,Northing,Height),Roll(X)[deg],Pitch(Y)[deg],Yaw(Z)[deg],Omega[deg],Phi[deg],Kappa[deg]
158922.315098000,181203_204751116.jpg,6037127.058,2240151.235,93.797,-3.278188444,-0.130049130,-0.013667052,-0.008838132,-0.124781616,3.278448527,-2.171656572,0.238681955,-177.728208375,-177.820306488,0.154347591,177.720707331
158922.731085000,181203_204751532.jpg,6037136.579,2240150.978,93.780,-3.278082634,-0.131772644,-0.020678624,-0.015959377,-0.120465303,3.278583274,-2.091160812,0.361133697,-177.698058751,-177.895721513,0.278712469,177.686309067
158923.137428000,181203_204751939.jpg,6037145.759,2240150.673,93.785,-3.277901028,-0.136323880,-0.019954997,-0.014321701,-0.138337814,3.277885379,-2.403943024,0.348496041,-177.618511260,-177.583358070,0.250111857,177.605878113
158923.571691000,181203_204752374.jpg,6037155.433,2240150.366,93.795,-3.277570205,-0.144696135,-0.014677005,-0.008104954,-0.151565096,3.277321505,-2.638838126,0.256319919,-177.472182875,-177.352148655,0.141543351,177.462958352
158924.006513000,181203_204752809.jpg,6037164.935,2240150.099,93.747,-3.277031556,-0.155415698,-0.022956624,-0.015532490,-0.159061324,3.276939745,-2.762746223,0.400917558,-177.284738855,-177.221066438,0.271257317,177.268439222
158924.441708000,181203_204753245.jpg,6037174.290,2240149.918,93.666,-3.275651966,-0.171072611,-0.066670053,-0.058714194,-0.155005745,3.276646443,-2.650610948,1.164405959,-177.010414466,-177.291571663,1.025426547,176.959179823
158924.877136000,181203_204753681.jpg,6037184.027,2240149.805,93.755,-3.275445636,-0.180439301,-0.050079443,-0.042368160,-0.142710283,3.277456417,-2.448378967,0.874621216,-176.846850043,-177.506744023,0.739928650,176.812009029
158925.312843000,181203_204754117.jpg,6037194.072,2240149.629,93.797,-3.275481976,-0.181941641,-0.041562784,-0.033064195,-0.155499701,3.276981313,-2.680234208,0.725871678,-176.820685708,-177.283231219,0.577435708,176.789959973
158925.748690000,181203_204754553.jpg,6037204.460,2240149.516,93.817,-3.275504487,-0.180848516,-0.044450263,-0.036613422,-0.144586307,3.277443319,-2.486560058,0.776302972,-176.839770219,-177.474000676,0.639422208,176.808775964
158926.163631000,181203_204754969.jpg,6037214.806,2240149.346,93.845,-3.275573988,-0.179939500,-0.042998247,-0.034792178,-0.151934923,3.277130690,-2.616792022,0.750942705,-176.855689409,-177.345542571,0.607614252,176.824408978
158926.541573000,181203_204755347.jpg,6037224.665,2240149.208,93.859,-3.275719066,-0.179424082,-0.032954287,-0.024799475,-0.151354660,3.277248033,-2.616336788,0.575523131,-176.864816543,-177.355760560,0.433096871,176.841627784
158926.965514000,181203_204755771.jpg,6037236.148,2240148.994,93.838,-3.275671283,-0.180174678,-0.033600227,-0.024612109,-0.165755985,3.276552666,-2.867798077,0.586804411,-176.851681427,-177.103958899,0.429824631,176.826072565
158927.340502000,181203_204756147.jpg,6037246.676,2240148.897,93.819,-3.275613323,-0.178443470,-0.046114532,-0.037659603,-0.157715866,3.276825986,-2.715325370,0.805370530,-176.881817002,-177.244440899,0.657693644,176.846857659
158927.687492000,181203_204756494.jpg,6037256.778,2240148.835,93.842,-3.275726339,-0.178935906,-0.034825478,-0.027559169,-0.135646720,3.277913743,-2.339620009,0.608203368,-176.873336712,-177.630335499,0.481293188,176.850917547
158928.068480000,181203_204756875.jpg,6037268.098,2240148.727,93.849,-3.276011583,-0.172259413,-0.041076016,-0.034579018,-0.126366658,3.278218308,-2.172442340,0.717370088,-176.990042327,-177.792491150,0.603891629,176.964762373
158928.402470000,181203_204757210.jpg,6037278.241,2240148.547,93.875,-3.276131349,-0.169865077,-0.041491949,-0.034858909,-0.130710050,3.278045060,-2.248520318,0.724634520,-177.031912490,-177.716574566,0.608779710,177.005514614
158928.733460000,181203_204757541.jpg,6037288.475,2240148.352,93.904,-3.276351594,-0.165996683,-0.039724641,-0.033032618,-0.134821404,3.277897409,-2.322755428,0.693767896,-177.099583619,-177.644725373,0.576884234,177.073614357
158929.064404000,181203_204757872.jpg,6037298.840,2240148.132,93.932,-3.276513001,-0.163051644,-0.038595937,-0.031404334,-0.147131986,3.277383909,-2.539712932,0.674054795,-177.151096075,-177.429538674,0.548446769,177.123799923
158929.395394000,181203_204758204.jpg,6037309.313,2240147.905,93.945,-3.276362785,-0.166574256,-0.036240302,-0.028487288,-0.155004969,3.277047569,-2.679035142,0.632913310,-177.089519080,-177.291916327,0.497502145,177.062908046
158929.706384000,181203_204758515.jpg,6037319.241,2240147.742,93.964,-3.275927650,-0.175085647,-0.035449892,-0.027467970,-0.151851376,3.277203863,-2.623278348,0.619108759,-176.940673213,-177.347059300,0.479700316,176.915339309
158930.017422000,181203_204758826.jpg,6037329.204,2240147.565,93.948,-3.275205015,-0.183406698,-0.054801027,-0.045568891,-0.167313236,3.276249836,-2.873913689,0.957089536,-176.794867477,-177.076527969,0.795830735,176.750493766
158930.328412000,181203_204759138.jpg,6037339.351,2240147.473,94.007,-3.274931836,-0.191784482,-0.040651512,-0.032101332,-0.148559816,3.277312780,-2.557907756,0.709955989,-176.648508625,-177.404571869,0.560619652,176.619908392
158930.639403000,181203_204759449.jpg,6037349.602,2240147.379,94.044,-3.274239414,-0.204558580,-0.033556616,-0.024120918,-0.153436208,3.277156275,-2.648902674,0.586042765,-176.425084207,-177.319372578,0.421246372,176.401627703
158930.950393000,181203_204759760.jpg,6037359.936,2240147.298,94.044,-3.273802428,-0.206920332,-0.054868751,-0.044693602,-0.163585188,3.276450117,-2.802876021,0.958272446,-176.383437158,-177.141733643,0.780543342,176.340464452
158931.261384000,181203_204800072.jpg,6037370.473,2240147.233,94.096,-3.273825865,-0.208236489,-0.048085337,-0.037841632,-0.163561584,3.276537340,-2.809685963,0.839792239,-176.360520917,-177.142221173,0.660872762,176.323385870
158931.572375000,181203_204800383.jpg,6037381.134,2240147.191,94.164,-3.274391677,-0.203180941,-0.026311188,-0.016859804,-0.154614916,3.277146022,-2.677579349,0.459503325,-176.449263059,-177.298801995,0.294437347,176.431531475
158931.863366000,181203_204800674.jpg,6037391.010,2240147.193,94.138,-3.274290724,-0.198708471,-0.056069039,-0.048174854,-0.133040140,3.277783171,-2.268600740,0.979237277,-176.527122525,-177.675728142,0.841345242,176.490620077
158932.154357000,181203_204800966.jpg,6037401.008,2240147.124,94.203,-3.274847325,-0.191801446,-0.046881209,-0.038988986,-0.137505320,3.277720706,-2.357961156,0.818761140,-176.648126550,-177.597763549,0.680911151,176.616952890
158932.445348000,181203_204801257.jpg,6037410.863,2240147.058,94.231,-3.274478654,-0.188753805,-0.075929452,-0.069036552,-0.122985275,3.277803564,-2.075145523,1.326150534,-176.700897206,-177.851233074,1.205727885,176.654221865
158932.736339000,181203_204801548.jpg,6037420.786,2240146.985,94.368,-3.274996945,-0.184906989,-0.061736297,-0.055645641,-0.111158510,3.278480054,-1.883561690,1.078226308,-176.768499539,-178.058100942,0.971829806,176.734264526
158933.027331000,181203_204801840.jpg,6037430.672,2240146.957,94.511,-3.275621786,-0.180264623,-0.037671606,-0.033303244,-0.082402682,3.279630879,-1.404902780,0.657911211,-176.850065413,-178.560711758,0.581610791,176.834664745
158933.318322000,181203_204802131.jpg,6037440.409,2240146.813,94.568,-3.275779673,-0.178013587,-0.034524097,-0.029692993,-0.091821830,3.279415266,-1.573086563,0.602939777,-176.889471798,-178.396168187,0.518559241,176.873904300
158933.609313000,181203_204802422.jpg,6037450.086,2240146.689,94.622,-3.275948934,-0.177237208,-0.019038463,-0.014655690,-0.083648006,3.279735019,-1.444834008,0.332489421,-176.903171126,-178.539016041,0.255944774,176.895687268
158933.900304000,181203_204802713.jpg,6037459.711,2240146.488,94.619,-3.276262149,-0.171914119,-0.013045095,-0.007598915,-0.106310095,3.279102457,-1.847224091,0.227820009,-176.996294034,-178.143092681,0.132706096,176.990435638
158934.191295000,181203_204803005.jpg,6037469.430,2240146.291,94.603,-3.275980274,-0.177685207,-0.001538208,0.004649604,-0.116343011,3.278766919,-2.033469652,0.026863251,-176.895388282,-177.967781729,-0.081199698,176.896314191
158934.482287000,181203_204803296.jpg,6037479.242,2240146.111,94.512,-3.275362594,-0.188724193,-0.002039429,0.005269350,-0.128981536,3.278293174,-2.254498699,0.035616558,-176.702301872,-177.746909737,-0.092022834,176.703368918
158934.773278000,181203_204803587.jpg,6037489.115,2240145.990,94.396,-3.274734070,-0.194720437,-0.042569976,-0.034487142,-0.138611019,3.277724441,-2.381194286,0.743462760,-176.597116569,-177.578472420,0.602287048,176.568889123
158935.064269000,181203_204803879.jpg,6037499.246,2240145.859,94.402,-3.274127916,-0.205320616,-0.039269332,-0.030255915,-0.146284038,3.277432619,-2.517266067,0.685815809,-176.411679542,-177.444371025,0.528390226,176.384776285
158935.355260000,181203_204804170.jpg,6037509.525,2240145.773,94.411,-3.273645369,-0.212807681,-0.039636110,-0.029980782,-0.151047545,3.277219080,-2.599100301,0.692221694,-176.280644692,-177.361095294,0.523585320,176.252831283
158935.646298000,181203_204804461.jpg,6037519.940,2240145.713,94.430,-3.273244691,-0.217269530,-0.047679792,-0.037286586,-0.159161083,3.276760372,-2.731230114,0.832709064,-176.202424905,-177.219174246,0.651178804,176.166714781
158935.937289000,181203_204804753.jpg,6037530.557,2240145.603,94.468,-3.273427396,-0.216165591,-0.039467049,-0.027533643,-0.182932685,3.275615493,-3.157544243,0.689268987,-176.221874480,-176.803532727,0.480847224,176.189399867
